slide,element,before_codex,after_figma,change_type,attribution,style_axis,note
Context,body,"막히면 밑줄 긋고, 메모하고, 앞장을 다시 넘겼다. 느리고 비효율적이지만, 그 귀찮은 씨름 속에서 이해가 생겼다.","막히면 밑줄 긋고, 메모하고, 앞장을 다시 넘겼다. 느리고 비효율적이지만, 그 귀찮은 씨름 속에서 이해가 생겼다.",KEPT,codex-keep,-,"본문 verbatim 유지(코어 서사 불변)"
Context,diagram_label,되돌아읽기 / 메모·주석 / 하이라이트 / 깊어진다,독서·시점·시간 / 메모·찾아보기 / 되돌아가기 / 풍부하다 / 인쇄매체 시대: HBI,STRUCTURE|LEXICAL,AI+user(추정),도식교체,"다이어그램 라벨 재구성('깊어진다'→'풍부하다')"
Problem,eyebrow,Problem · Human-Document Interaction,PROBLEM · HUMAN-DOCUMENT INTERACTION,TYPOGRAPHY,AI-rewrite,규범화,"올캡스"
Problem,display,평평해진 읽기,평평해진 읽기,KEPT,codex-keep,-,"핵심 진단 유지"
Problem,lead,"넓어졌는데, 가운데가 비었다.",수평적 확장과 깊이의 부재,TONE|LEXICAL,user-edit(추정),명사구화,"구어 대비문 → 학술 명사구(가장 큰 레지스터 이동)"
Problem,body,"답은 빨리 오고 길은 많아졌지만, 문장과 붙잡고 씨름하던 밀도는 얇아졌다.","답은 빨리 오고 길은 많아졌지만, 문장과 붙잡고 씨름하던 밀도는 낮아졌다.",LEXICAL,AI+user(추정),어휘교정,"'얇아졌다'→'낮아졌다'(밀도 술어 정합)"
Problem,chips,검색 / GPT / 요약 / 번역,(그래픽으로 흡수),STRUCTURE,AI+user(추정),도식교체,"칩 텍스트가 도식으로 흡수"
Innovation,eyebrow,Innovation,INNOVATION,TYPOGRAPHY,AI-rewrite,규범화,"올캡스"
Innovation,flip,HDI(Human-Document Interaction) → DHI(Document-Human Interaction),HDI(Human-Document Interaction) → DHI(Document-Human Interaction),KEPT,codex-keep,-,"플립 카드 코어 유지"
Innovation,headline,문서가 내 흔적을 되읽는다.,문서가 내 흔적을 읽을 수 있다면.,TONE,AI+user(추정),단정→가정,"평서 단정('되읽는다.') → 조건/질문('읽을 수 있다면.') 내러티브 훅"
Innovation,body,"종이책의 흔적은 독자만 알아봤다. Layer 2는 밑줄, 머묾, 되돌아읽기를 읽고, 비어 있던 지지고 볶기의 자리를 다시 움직이게 한다.","종이책의 흔적은 독자만 알아봤다. / Layer 2는 밑줄·머묾·되돌아읽기를 읽고, 비어 있던 지지고 볶기의 자리를 다시 움직이게 한다.",TYPOGRAPHY,AI-rewrite,구분자,"쉼표 나열 → 가운뎃점(·), 2줄 분할"
How,eyebrow,How · 작동 원리,HOW · 작동 원리,TYPOGRAPHY,AI-rewrite,규범화,"올캡스"
How,headline,"씨름하고, 남기고, 비춘다",,DROPPED,AI+user(추정),절제,"중앙 헤드라인 제거(카드 3장만으로)"
How,card_label,01 : WRESTLE,01 · WRESTLE,TYPOGRAPHY,AI-rewrite,구분자,"콜론(:) → 가운뎃점(·)"
How,card1_title,씨름,지지고 볶기,LEXICAL,AI+user(추정),행위구화,"추상명사 → 행위 동사구"
How,card1_desc,"어려운 글 앞에서 왔다 갔다 하고, 오래 머물고, 밑줄 긋는 행동을 실패가 아니라 이해가 만들어지는 신호로 본다.","어려운 글 앞에서 왔다 갔다 하고, 오래 머물고, 밑줄 긋는 행동을 실패가 아니라 이해가 만들어지는 신호로 본다.",KEPT,codex-keep,-,"근거 문장 verbatim 유지"
How,card2_title,흔적,흔적 남기기,LEXICAL,AI+user(추정),행위구화,"명사 → 행위구"
How,card2_desc,"하이라이트, 주석, 체류, 되돌아읽기를 모아 마찰을 만든다. 절대 점수가 아니라 이 글 안에서 어디가 상대적으로 치열했는지다.","하이라이트·주석·체류·되돌아읽기를 모아 마찰을 만든다. 절대 점수가 아니라 이 글 안에서 어디에서 씨름이 상대적으로 치열했는지를 기준으로 한다.",LEXICAL|TYPOGRAPHY,AI+user(추정),정밀화,"구분자(·)+'어디에서 씨름이…를 기준으로 한다'로 술어 정밀화"
How,card3_title,거울,비추기,LEXICAL,AI+user(추정),행위구화,"명사 → 행위구"
How,card3_desc,"촛불은 막힌 개념을 짚고, 맵과 리포트는 내가 어떤 식으로 읽었는지 조용히 되비춘다.","촛불은 막힌 개념을 짚고, 맵과 리포트는 내가 어떤 식으로 읽었는지 조용히 되비춘다.",KEPT,codex-keep,-,"근거 문장 verbatim 유지"
Development1,eyebrow,Development,DEVELOPMENT,TYPOGRAPHY,AI-rewrite,규범화,"올캡스(Dev1)"
Development1,headline,"먼저, 흔적이 보이게 했다",신호: 흔적을 남길 수 있게 하기,LEXICAL|STRUCTURE,AI+user(추정),주제명사화,"부사 도입('먼저,') → 주제어('신호:')"
Development1,lead,읽는 행동을 남기는 일부터 시작했다.,읽는 행동을 남기는 일부터 시작했다.,KEPT,codex-keep,-,"리드 유지"
Development1,signals,밑줄/주석/동그라미/체류/되돌아읽기/스크롤,밑줄/주석/동그라미/체류/되돌아읽기/스크롤,KEPT,codex-keep,-,"6신호 카드 유지(유니코드 글자→SVG 아이콘 재현)"
Development1,band,마찰 계수는 이 글 안에서 상대적으로 치열했던 구간이다. 문서 내 백분위 상위 20%를 촛불과 리포트의 재료로 쓴다.,마찰 계수 / 한 문서 안에서 상대적으로 마찰이 강한 위치,LEXICAL,AI-rewrite,압축,"한 문장 → 라벨+짧은 정의로 압축(백분위 문구는 Dev2로 이동)"
Development2,SPLIT,(slide-dev 1장),Development1 신호 + Development2 파이프라인(2장),STRUCTURE,AI-rewrite,분할,"Codex 1장 → 신호카드/5레이어 파이프라인 2장 분할"
Development2,eyebrow,,DEVELOPMENT · 5 레이어,ADDED,AI-rewrite,규범화,"신규 아이브로"
Development2,headline,,"행동을 흔적으로, 흔적을 거울로",ADDED,AI-rewrite,분할신설,"파이프라인 헤드라인 신설(대구형)"
Development2,stages,,수집·해석·개입·리포트(01~04 + 각 보조설명),ADDED,AI-rewrite,분할신설,"5레이어 파이프라인 단계 카드"
Development2,band,,"마찰 계수: 절대 시간(초)이나 이해도가 아닌, 이 글 안에서 상대적으로 치열했던 구간. 문서 내 백분위 상위 20%를 촛불과 리포트의 재료로 활용.",ADDED,AI-rewrite,분할신설,"Codex band를 재서술('절대 시간/이해도가 아닌' 명시)"
Demo,eyebrow,Demo,DEMO,TYPOGRAPHY,AI-rewrite,규범화,"올캡스"
Demo,caption,"읽고, 촛불이 살짝 끼어들고, 흔적이 지도가 된다","개념 앞에서 망설이면, 촛불이 켜진다",LEXICAL,AI-rewrite,인과강화,"나열형 → 조건-결과형 캐치(촛불 한 장면 집중)"
MentalMap,eyebrow,Mental Model Map,REPORT · 멘탈 모델 맵,TYPOGRAPHY|LEXICAL,AI-rewrite,분류화,"영문 단독 → 'REPORT·' 카테고리 접두"
MentalMap,headline,내 읽기가 만든 작은 세계,"내가 무엇을 어떻게 엮었는지, 한 장으로 이해",LEXICAL,AI-rewrite,기능명료화,"시적('작은 세계') → 기능 설명"
MentalMap,body,"개념이 가까운 단락들이 곡선으로 이어진다. 시간, 마찰, 개념, 상호작용으로 흩어져 있던 읽기를 한 장의 지형으로 접었다.",(스크린샷으로 대체),STRUCTURE,AI-rewrite,증거화,"설명 본문 삭제 → 실제 리포트 패널 캡처"
MentalMap,accent,동의어와 의역까지 잇는 의미 연결 : Gemini 임베딩 코사인,(삭제),DROPPED,AI-rewrite,절제,"기술 디테일 부주석 삭제"
Validation,eyebrow,Validation,VALIDATION,TYPOGRAPHY,AI-rewrite,규범화,"올캡스"
Validation,headline,꿰뚫는 척하지 않는다,행동에서 인지를 읽는 근거,STRUCTURE|HONESTY,AI-rewrite,용도변경,"'정직 디스클레이머'→'이론 근거' 슬라이드로 용도 전환"
Validation,body,"Layer 2는 내가 남긴 흔적을 모아 읽기의 경향을 비출 뿐, 나에 대한 결론을 내리지 않는다. 마찰도 절대 점수가 아니라 이 글 안에서 어디가 상대적으로 치열했는지다.",viewport attention(Grusky) · 스크롤↔이해(Brady) · ICAP germane 학습(Chi&Wylie) · 개입 타이밍(Hefter),STRUCTURE,AI-rewrite,근거화,"방어 진술 → 문헌 인용 4종(+ → docs/theory-base.md)"
Validation,scale_items,흔적 / 경향 / 납득(3항),(삭제),DROPPED,AI-rewrite,절제,"3척도 설명 삭제"
Conclusion,eyebrow,Conclusion,CONCLUSION,TYPOGRAPHY,AI-rewrite,규범화,"올캡스"
Conclusion,display,책과 나 사이의 아교,씨름 · 흔적 · 거울(3칩),STRUCTURE,AI-rewrite,용도변경,"'아교' 은유 → 3단어 칩"
Conclusion,lead,"효율 속에서 사라진 지지고 볶기를 다시 살리고, 그 흔적으로 내가 어떻게 읽는 사람인지 조용히 비춘다.","사람이 문서를 읽는다 에서, 문서가 사람을 읽는다 로.",STRUCTURE|LEXICAL,AI-rewrite,프레임전환,"서정적 마무리 → HDI→DHI 대구 한 줄(수미상관)"
Conclusion,closer,"= 읽기 위의 한 겹, Layer 2.",나를 아는 독서.,LEXICAL,AI-rewrite,코어회귀,"제품명 클로저 → 컨셉 한 문장 회귀"
Future,eyebrow,Future,FUTURE,TYPOGRAPHY,AI-rewrite,규범화,"올캡스"
Future,headline,"할 일이던 게, 거의 다 됐다",흔적은 쌓일수록 정확해진다,LEXICAL,AI-rewrite,주장화,"진척 보고 → 비전 명제"
Future,board,"6/5 계획(촛불 개입·보드 뷰·멘탈 모델 맵·다중 세션 리포트) → 지금",완료(촛불 Seam 3종+마찰 결합·마찰 계수·멘탈 모델 맵·거시 인지 리듬 리포트) | 다음(재독 Diff·다회독 거울·서버 프록시+배포),STRUCTURE,AI-rewrite,재구성,"was/now 회고 보드 → 완료/다음 작업 보드"
Future,now_text,"지난 며칠 사이에 작동하는 형태까지 끌고 왔다. 조금 무리했습니다. 그래도 지금, 움직입니다.",(삭제),HONESTY,AI-rewrite,회고제거,"1인칭 감정 회고('무리했습니다') 삭제 → 객관 보드화"
출발점(신규),eyebrow,,① 처음 · ORIGIN (초기 스콥),ADDED,AI-rewrite,신설,"제작 여정 외화 슬라이드"
출발점(신규),headline,,읽기 '신호'를 설계하는 일,ADDED,AI+user,신설,"AI빌드 '처음엔, 읽기 신호를 설계하는 일이었다'에서 사용자가 '처음엔,'·완결어미 제거→명사구"
출발점(신규),subhead,,프로토콜 설계: 행동 신호를 다 분류하고 웹으로 수집 가능한 걸 추려내 개발,ADDED,AI-rewrite,신설,"출발 스콥 요약"
출발점(신규),funnel,,분류한 신호 공간(명시적↔암묵적·5차원) → 추려낸 수집 신호(6신호),ADDED,AI-rewrite,신설,"신호 분류→선정 퍼널"
출발점(신규),honest_band,(AI빌드에 존재),(사용자 삭제),DROPPED,user-edit,절제,"AI가 넣은 '정직 포지셔닝 밴드'를 사용자가 제거(이후 슬라이드로 이전)"
이후 경쟁사(신규),eyebrow,,② 이후 · 경쟁사를 만나다,ADDED,AI-rewrite,신설,"경쟁사·포지셔닝 슬라이드"
이후 경쟁사(신규),headline,,'몰입'과 '나를 안다'의 차이,ADDED,user-edit,신설,"AI빌드 '남들은 몰입을, 우리는 나를 안다'→사용자가 대비 명사구로"
이후 경쟁사(신규),cards,,Readwise(유창한 몰입/끝난 뒤 보관) vs Layer2(능동적 개입/읽는 동안),ADDED,AI-rewrite,신설,"경쟁사 대비 카드+캐치프레이즈"
이후 경쟁사(신규),band,,포지셔닝: '다르다'보다 '나를 비춘다' / 벤치마크 8종,ADDED,AI+user,신설,"AI의 긴 '정직 포지셔닝' 문장을 사용자가 한 줄로 압축"
Examples(신규),eyebrow,,EXAMPLE · 두가지 앎,ADDED,AI-rewrite,신설,"구체 예시 슬라이드"
Examples(신규),headline,,그래서 이렇게 돌아옵니다:,ADDED,AI+user(추정),신설,"콜론 종결 표제"
Examples(신규),card1,,① 텍스트를 알기 / '표면장력' 짚어줌 / 촛불 발화 카피,ADDED,AI-rewrite,신설,"텍스트를 알기 = 촛불 개입(표면장력)"
Examples(신규),card2,,"② 나를 알기 / 이거, 저녁에 읽어야 더 잘 읽혀요. 오늘 저녁에 읽으세요.",ADDED,AI-rewrite,신설,"나를 알기 = 저녁에 읽어라(멘탈맵·리포트)"
References(신규),slide,,REFERENCES / 참고문헌 / 6주제 10인용 + 웹검증·휴리스틱 고지,ADDED,AI-rewrite,신설,"학술 참고문헌 슬라이드(정직성을 검증가능 형태로 외화)"
ColdOpen 다크(변형),slide,,"COLD OPEN / 이 논문, 저녁에 읽으세요 / Layer 2 · Wrestle · Trace · Mirror",ADDED,AI-rewrite,대체비주얼,"다크+실사. 타이틀에서 빠진 트라이어드가 여기 푸터엔 잔존"
Trace 다크(변형),slide,,"TRACE · 흔적 남기기 / 밑줄은 기록이 아니라, 이해의 흔적이다",ADDED,AI-rewrite,대체비주얼,"How(Trace)의 다크 사진 버전"
Conclusion 다크(변형),slide,,"나를 아는 독서 / 흔적이 거울이 되는 읽기 / 그래서 책은, 저에게 저녁에 읽으라 말할 수 있었습니다.",ADDED,AI-rewrite,대체비주얼,"결론의 다크 사진 버전(수미상관 콜백)"
Demo vid(운영),slide,,(데모 영상 슬롯/GIF 티저),ADDED,운영,운영,"라이브 데모 백업 영상 자리(콘텐츠 diff 대상 아님)"
Title-Layer 3(운영),slide,,(클로징 타이틀),ADDED,운영,운영,"덱 마지막 클로징 타이틀(diff 대상 아님)"
